category,EI_NI,unit_bw,Sala2017,unit_pub,diff_pct
climate change,54388495651901.19,kg CO2-Eq,57900000000000.0,kg CO2 eq,-6.064774349048036
ozone depletion,22084650.09842013,kg CFC-11-Eq,161000000.0,kg CFC-11 eq,-86.282826025826
human toxicity: carcinogenic,83787.90103380143,CTUh,266000.0,CTUh,-68.50078908503706
human toxicity: non-carcinogenic,5107559.450288219,CTUh,3270000.0,CTUh,56.19447860208622
particulate matter formation,4257454.047841851,disease incidence,4950000.0,disease incidences,-13.990827316326248
ionising radiation: human health,719953601132.1924,kBq U235-Eq,29100000000000.0,kBq U-235 eq,-97.52593264215741
photochemical ozone formation: human health,221770428031.5159,kg NMVOC-Eq,280000000000.0,kg NMVOC eq,-20.796275703030037
acidification,374777596728.3661,mol H+-Eq,383000000000.0,mol H+ eq,-2.1468415852830054
eutrophication: terrestrial,983310906577.4005,mol N-Eq,1220000000000.0,mol N eq,-19.400745362508154
eutrophication: freshwater,5780663836.270363,kg PO4-Eq,5060000000.0,kg P eq,14.242368305738395
eutrophication: marine,125603254393.0379,kg N-Eq,195000000000.0,kg N eq,-35.58807467023698
land use,2606149979961136.0,dimensionless,9640000000000000.0,pt,-72.96524917052764
ecotoxicity: freshwater,1577597137473070.0,CTUe,81500000000000.0,CTUe,1835.702009169411
water use,252072977818660.1,m3 world eq. deprived,79100000000000.0,m3 deprived,218.67633099704182
energy resources: non-renewable,518116272592324.8,"MJ, net calorific value",450000000000000.0,MJ,15.13694946496107
material resources: metals/minerals,851503543.3557152,kg Sb-Eq,439000000.0,kg Sb eq,93.96436067328364
