substance,label,classification,ecoinvent_kg,edgar_kg,edgar_year,edgar_source,in_figure
CO2 (fossil),$CO_2$,GHG,47948830000000.0,37831881441542.38,2018,EDGAR v8.0 (2023),yes
CO,$CO$,GHG,971218700000.0,441909750452.78735,2018,EDGAR v8.0 (2023),yes
CH4,$CH_4$,GHG,259032900000.0,376729225068.5202,2018,EDGAR v8.0 (2023),yes
N2O,$N_2O$,GHG,9698462000.0,9252764967.719889,2018,EDGAR v8.0 (2023),yes
HFC-134a,HFC-134a,F-gas,129801341.2996162,252512492.94823,2018,EDGAR v8.0 (2023),yes
HFC-152a,HFC-152a,F-gas,31027886.82505901,52617530.711710006,2018,EDGAR v8.0 (2023),yes
SF6,$SF_6$,F-gas,3046104.629702244,8543263.918595001,2018,EDGAR v8.0 (2023),yes
CF4,$CF_4$,F-gas,4576624.671464273,5375047.5103,2018,EDGAR v8.0 (2023),yes
HFC-23,HFC-23,F-gas,2439500.655921444,9796930.099607388,2018,EDGAR v8.0 (2023),yes
C2F6,$C_2F_6$,F-gas,741979.5743381074,791831.5081,2018,EDGAR v8.0 (2023),yes
HFC-125,HFC-125,F-gas,821.4461664250003,71517683.63878,2018,EDGAR v8.0 (2023),no
HFC-143a,HFC-143a,F-gas,63.268969565761,31340606.551644,2018,EDGAR v8.0 (2023),no
NF3,$NF_3$,F-gas,2.635988715161486e-07,142201.1697,2018,EDGAR v8.0 (2023),no
NOx,$NO_x$,Air pollutant,114639700000.0,109727409273.0232,2018,EDGAR v8.1 (2024),yes
SO2,$SO_2$,Air pollutant,136539200000.0,90786200919.6421,2018,EDGAR v8.1 (2024),yes
NH3,$NH_3$,Air pollutant,36589710000.0,54390711771.71987,2018,EDGAR v8.1 (2024),yes
NMVOC,NMVOC,Air pollutant,33799560000.0,133374089133.84547,2018,EDGAR v8.1 (2024),yes
PM2.5,$PM_{2.5}$,Air pollutant,34504542992.382454,36731729285.091,2018,EDGAR v8.1 (2024),yes
PM10,$PM_{10}$,Air pollutant,52004439793.06593,56807643236.56232,2018,EDGAR v8.1 (2024),yes
