variant,category,unit,EI_NI,RIVM_world,diff_pct
no LT,climate change,kg CO2-Eq,60447496310161.8,55100964383341.49,9.703154902378996
no LT,ozone depletion,kg CFC-11-Eq,125264534.24903542,413822334.18923664,-69.72987586703012
no LT,ionising radiation,kg Co-60-Eq,131281851768.3353,3309456784129.2637,-96.03312989618397
no LT,particulate matter formation,kg PM2.5-Eq,95457830253.1644,176325088808.08005,-45.86259340718956
no LT,photochemical oxidant formation: human health,kg NOx-Eq,123964045981.91212,141830898749.4325,-12.597292215630032
no LT,human toxicity: carcinogenic,"kg 1,4-DCB-Eq",1287678492056.1826,71015978388.33777,1713.2236171059283
no LT,human toxicity: non-carcinogenic,"kg 1,4-DCB-Eq",290237842686276.5,215509235817356.38,34.67536163148593
no LT,water use,cubic meter,5841187078460.204,1838714752448.0,217.677718671885
no LT,photochemical oxidant formation: terrestrial ecosystems,kg NOx-Eq,129493962773.88104,122397397558.60341,5.797970673257023
no LT,acidification: terrestrial,kg SO2-Eq,248879384395.08972,282597081563.67664,-11.931367791209627
no LT,ecotoxicity: terrestrial,"kg 1,4-DCB-Eq",199090119425778.1,104819655342204.0,89.93586534492024
no LT,land use,m2*a crop-Eq,28168152071199.4,42530273316121.125,-33.76917222743959
no LT,eutrophication: freshwater,kg P-Eq,3984763666.13958,4481558017.722584,-11.085304477112683
no LT,ecotoxicity: freshwater,"kg 1,4-DCB-Eq",162212372650.28687,173601961335.629,-6.560748851980051
no LT,ecotoxicity: marine,"kg 1,4-DCB-Eq",276581056348.697,299577017233.5003,-7.67614321591281
no LT,eutrophication: marine,kg N-Eq,22764000751.687847,31843736785.01947,-28.513412526393832
no LT,material resources: metals/minerals,kg Cu-Eq,2499421802265.502,827859817502484.9,-99.69808634874853
no LT,"energy resources: non-renewable, fossil",kg oil-Eq,11550702663578.168,6780572000000.0,70.34997436172299
with LT,climate change,kg CO2-Eq,60502674702671.14,55100964383341.49,9.803295422834253
with LT,ozone depletion,kg CFC-11-Eq,126627834.2126336,413822334.18923664,-69.4004349811801
with LT,ionising radiation,kg Co-60-Eq,132503883327.34229,3309456784129.2637,-95.99620445377096
with LT,particulate matter formation,kg PM2.5-Eq,95628731256.62334,176325088808.08005,-45.76566959185834
with LT,photochemical oxidant formation: human health,kg NOx-Eq,124156274476.9266,141830898749.4325,-12.4617586353528
with LT,human toxicity: carcinogenic,"kg 1,4-DCB-Eq",4837632027233.438,71015978388.33777,6712.033202978266
with LT,human toxicity: non-carcinogenic,"kg 1,4-DCB-Eq",329582113231972.2,215509235817356.38,52.93178131413928
with LT,water use,cubic meter,5868986446844.184,1838714752448.0,219.18960997242348
with LT,photochemical oxidant formation: terrestrial ecosystems,kg NOx-Eq,129687341109.59538,122397397558.60341,5.955962868819639
with LT,acidification: terrestrial,kg SO2-Eq,249983863274.75876,282597081563.67664,-11.540536126014187
with LT,ecotoxicity: terrestrial,"kg 1,4-DCB-Eq",212663764083618.7,104819655342204.0,102.88538765877142
with LT,land use,m2*a crop-Eq,28168152071199.4,42530273316121.125,-33.76917222743959
with LT,eutrophication: freshwater,kg P-Eq,5781851364.070793,4481558017.722584,29.014314691589917
with LT,ecotoxicity: freshwater,"kg 1,4-DCB-Eq",1920666573869.5037,173601961335.629,1006.3622548343398
with LT,ecotoxicity: marine,"kg 1,4-DCB-Eq",2557876189159.3867,299577017233.5003,753.8292465759123
with LT,eutrophication: marine,kg N-Eq,23443921764.489067,31843736785.01947,-26.378232797358137
with LT,material resources: metals/minerals,kg Cu-Eq,2499421802265.502,827859817502484.9,-99.69808634874853
with LT,"energy resources: non-renewable, fossil",kg oil-Eq,11550702663578.168,6780572000000.0,70.34997436172299
