name,category,sub-category,cas,unit,median,mean,std,cv,type
Lead,water,surface water,007439-92-1,kilogram,-452584100.5130968,-463839796.3205336,17551558649.63826,-38.78076722036848,emission
Cadmium,soil,agricultural,007440-43-9,kilogram,-185973600.7357852,-400167831.8594899,14288830548.42094,-76.83257457987948,emission
"Zinc, ion",water,surface water,023713-49-7,kilogram,124909360.3630292,-335894953.4251193,18108122876.08881,144.9701033089949,emission
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",air,non-urban air or from high stacks,000076-14-2,kilogram,0.0,0.0,0.0,,emission
Copper,soil,forestry,007440-50-8,kilogram,0.0,0.0,0.0,,emission
Zinc,soil,forestry,007440-66-6,kilogram,0.0,0.0,0.0,,emission
"Perchlorate, ion",water,surface water,014797-73-0,kilogram,0.0,0.0,0.0,,emission
Nickel,water,ground-,007440-02-0,kilogram,0.0,0.0,0.0,,emission
Silicon tetrachloride,air,urban air close to ground,10026-04-7,kilogram,0.0,0.0,0.0,,emission
Silicon dioxide,water,surface water,7631-86-9,kilogram,0.0,0.0,0.0,,emission
Phosphorus pentachloride,water,,010026-13-8,kilogram,0.0,0.0,0.0,,emission
"Ethane, 1,1,1-trichloro-, HCFC-140",water,surface water,000071-55-6,kilogram,2.251452858695417e-10,2.251452858695416e-10,7.758698562288321e-26,3.446085283253066e-16,emission
Boric acid,air,urban air close to ground,010043-35-3,kilogram,1.34693520067573e-08,1.34693520067573e-08,1.655189026621508e-24,1.22885572059527e-16,emission
Monophenyltin,water,ocean,2406-68-0,kilogram,1.6999816980001e-07,1.700431939078966e-07,3.926594500927736e-09,0.02309786338021803,emission
Nitrogen fluoride,air,urban air close to ground,007783-54-2,kilogram,2.635988815943079e-07,2.635988815943079e-07,0.0,0.0,emission
Lambda-cyhalothrin,water,surface water,091465-08-6,kilogram,3.358482683263653e-07,3.483488192252064e-07,1.01407377656175e-07,0.3019440241913974,emission
Phosphoric acid,air,urban air close to ground,007664-38-2,kilogram,4.768288619831229e-07,4.768288619831229e-07,0.0,0.0,emission
Dibutyltin,water,ocean,1002-53-5,kilogram,9.012861738947395e-07,8.981553467275202e-07,8.391427202428622e-08,0.09310502530141608,emission
Sulfur hexafluoride,air,urban air close to ground,002551-62-4,kilogram,1.054230291176674e-06,1.054230291176674e-06,0.0,0.0,emission
Tefluthrin,water,surface water,079538-32-2,kilogram,4.196480546165237e-06,4.422482139021469e-06,1.273925452683171e-06,0.3035699650382723,emission
Triphenyltin,water,ocean,668-34-8,kilogram,1.699320628247798e-05,1.698435123741418e-05,4.101043262073857e-07,0.02413342834720085,emission
Trioctyltin,water,ocean,869-59-0,kilogram,3.998518256888836e-05,3.999848817358601e-05,1.209037959249668e-06,0.03023714990338435,emission
Diphenyltin,water,ocean,1011-95-6,kilogram,5.702977843472072e-05,5.684295924085582e-05,6.136700040992626e-06,0.1076051881915869,emission
Iodine,air,"low population density, long-term",007553-56-2,kilogram,6.779187737492657e-05,6.779187737492659e-05,2.711861701216679e-20,4.00027526338972e-16,emission
Monobutyltin,water,ocean,78763-54-9,kilogram,0.0001551529620295708,0.000155396224331022,1.008754965281536e-05,0.06501680355217943,emission
Sodium tetrahydridoborate,air,urban air close to ground,016940-66-2,kilogram,0.0001750044676070997,0.0001750044676070997,0.0,0.0,emission
Silver,soil,agricultural,007440-22-4,kilogram,0.0001297795189886174,0.0001770322076933421,0.0001744199641941776,1.343971418244164,emission
"Benzene, hexachloro-",air,non-urban air or from high stacks,000118-74-1,kilogram,0.0001829775247157912,0.0001886378592514315,4.235989097233022e-05,0.2315032463037495,emission
Monochloroethane,air,urban air close to ground,000075-00-3,kilogram,0.0001787598041199458,0.0001892898291689726,6.455967937432671e-05,0.3611532228520899,emission
Diethyl ether,air,urban air close to ground,000060-29-7,kilogram,0.0002205908211572029,0.0002338108429540482,7.622907996483821e-05,0.3455677782282426,emission
Thiabendazole,water,ground-,148-79-8,kilogram,0.0002367788772180153,0.0002424406582841332,4.960537927306118e-05,0.2095008636576428,emission
Thiabendazole,air,"low population density, long-term",148-79-8,kilogram,0.0002811321441294324,0.0002881706946066035,5.903166649194087e-05,0.2099783597309416,emission
